fold,max_depth,nrounds,alpha,gamma,eta,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,3,30,5,10,0.5,0.235792019347038,0.21771960734961,0.0180724119974276,0.789685723178076,0.768100595132988,0.0215851280450888,23248750,5143750,18105000,173,2632,44147,119
1,3,30,5,10,0.7,0.226967253176931,0.213923132704859,0.013044120472072,0.78879697133365,0.773239741108512,0.0155572302251382,22530000,5138750,17391250,177,2792,43987,115
1,3,30,5,10,1,0.234181633559688,0.212602459016393,0.0215791745432943,0.788275885388775,0.75677698428665,0.0314989011021245,23043750,4880000,18163750,166,2570,44209,126
1,3,30,10,0,0.3,0.225572907317657,0.213464696223317,0.01210821109434,0.792613376178081,0.78050806956757,0.0121053066105107,22648750,5231250,17417500,182,2913,43866,110
1,3,30,10,0,0.5,0.246608342842653,0.219725343320849,0.0268829995218036,0.805460632590243,0.772927613286257,0.0325330193039861,25022500,5253750,19768750,176,2661,44118,116
1,3,30,10,0,0.7,0.25426435826998,0.211991971901656,0.0422723863683244,0.813537541377199,0.761069574598367,0.052467966778832,26073750,4927500,21146250,169,2649,44130,123
1,3,30,10,0,1,0.272974226462599,0.213675213675214,0.0592990127873848,0.827095068998298,0.755513574906431,0.0715814940918663,28173750,4883750,23290000,165,2528,44251,127
1,3,30,10,5,0.3,0.226792930816093,0.211284230406043,0.0155087004100492,0.792109936055001,0.775627608630146,0.0164823274248551,22716250,5115000,17601250,179,2889,43890,113
1,3,30,10,5,0.5,0.233186057928326,0.214302913556465,0.0188831443718607,0.7963121902544,0.774791741523169,0.0215204487312309,23470000,5168750,18301250,178,2807,43972,114
1,3,30,10,5,0.7,0.240555273833671,0.219849246231156,0.0207060276025156,0.797270955723149,0.771471809883079,0.0257991458400699,24070000,5235000,18835000,175,2637,44142,117
1,3,30,10,5,1,0.256862493586455,0.202362996480643,0.0544994971058111,0.815854314466344,0.74737094446138,0.0684833700049635,26400000,4537500,21862500,161,2649,44130,131
1,3,30,10,10,0.3,0.222088835534214,0.210588235294118,0.011500600240096,0.786724439479201,0.775477968834511,0.01124647064469,22015000,5097500,16917500,179,2903,43876,113
1,3,30,10,10,0.5,0.228445099484156,0.214233841684822,0.0142112577993342,0.789452186571953,0.773303872449498,0.0161483141224549,22685000,5146250,17538750,177,2786,43993,115
1,3,30,10,10,0.7,0.226630635057118,0.210348162475822,0.0162824725812962,0.786873004807314,0.76808137769348,0.0187916271138342,22387500,4990000,17397500,174,2794,43985,118
1,3,30,10,10,1,0.233905171868076,0.205172842576474,0.0287323292916027,0.788599753594504,0.753803405813462,0.0347963477810418,23043750,4683750,18360000,165,2688,44091,127
1,2,40,0,0,0.3,0.224695755417038,0.216631726065688,0.00806402935134931,0.793552914953408,0.787079482158456,0.0064734327949515,22633750,5393750,17240000,186,2939,43840,106
1,2,40,0,0,0.5,0.240247678018576,0.22148800783162,0.0187596701869557,0.80359439418803,0.780676926802713,0.0229174673853165,24452500,5402500,19050000,181,2737,44042,111
1,2,40,0,0,0.7,0.254834745488649,0.218558282208589,0.0362764632800599,0.810604560084835,0.765306562451773,0.045297997633062,25913750,5120000,20793750,171,2573,44206,121
1,2,40,0,0,1,0.252368919772584,0.201005025125628,0.0513638946469556,0.814356833245543,0.745626550023764,0.068730283221779,26002500,4485000,21517500,160,2652,44127,132
1,2,40,0,5,0.3,0.22416864608076,0.21784715750233,0.00632148857843023,0.792704767030311,0.788813188039241,0.00389157899106984,22540000,5445000,17095000,187,2937,43842,105
1,2,40,0,5,0.5,0.239702694332611,0.219578017664377,0.0201246766682339,0.802746246264933,0.777337777723115,0.0254084685418187,24358750,5315000,19043750,179,2729,44050,113
1,2,40,0,5,0.7,0.252848546921009,0.223271242663945,0.029577304257064,0.811035852063726,0.772123811849773,0.0389120402139527,25812500,5311250,20501250,175,2576,44203,117
1,2,40,0,5,1,0.258359621451104,0.214586951128752,0.0437726703223519,0.822918477081159,0.767480658836786,0.0554378182443728,26977500,5071250,21906250,173,2690,44089,119
1,2,40,0,10,0.3,0.225271104187886,0.214067278287462,0.0112038259004239,0.791810654864289,0.780636332249543,0.0111743226147464,22576250,5246250,17330000,182,2901,43878,110
1,2,40,0,10,0.5,0.235974222896133,0.22575043413545,0.0102237887606831,0.791962951598515,0.782987814752375,0.00897513684613971,23405000,5521250,17883750,182,2681,44098,110
1,2,40,0,10,0.7,0.234150306364887,0.212949286065977,0.0212010202989095,0.792380882809963,0.767149313575024,0.0252315692349399,23297500,5032500,18265000,173,2721,44058,119
1,2,40,0,10,1,0.243412960445394,0.219681397738952,0.0237315627064423,0.795134813803979,0.765520333588395,0.0296144802155844,24131250,5145000,18986250,171,2553,44226,121
1,2,40,5,0,0.3,0.225337857950825,0.210921021795172,0.0144168361556523,0.793681178320855,0.777019280692337,0.016661897628518,22693750,5126250,17567500,180,2919,43860,112
1,2,40,5,0,0.5,0.238140119384229,0.21620953792933,0.0219305814548983,0.796468772042979,0.770755676575398,0.0257130954675806,23846250,5151250,18695000,175,2704,44075,117
