fold,max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,4,40,15,15,0.152575315840622,0.152575315840622,0.0129356762009823,0.707914426888835,0.684865075243624,0.0230493516452107,6327500,547500,5780000,31,771,22687,46
1,6,40,0,0,0.301192434210526,0.301192434210526,0.174787939828504,0.90473200440237,0.659701007492806,0.245030996909564,20630000,4e+05,20230000,27,733,22725,50
1,6,40,0,5,0.272119341563786,0.272119341563786,0.130437440284079,0.863785011647946,0.685206110284975,0.178578901362972,17790000,567500,17222500,31,755,22703,46
1,6,40,0,10,0.222062300812172,0.222062300812172,0.101132068254033,0.794054466708203,0.653036983478624,0.141017483229579,12931250,341250,12590000,26,741,22717,51
1,6,40,0,15,0.180344142951688,0.180344142951688,0.0438426262681689,0.720156347419232,0.661384868009474,0.0587714794097584,8507500,498750,8008750,27,654,22804,50
1,6,40,5,0,0.28027139874739,0.28027139874739,0.144248884676096,0.869866180570902,0.672773279240156,0.197092901330746,18365000,502500,17862500,29,729,22729,48
1,6,40,5,5,0.217576337908288,0.217576337908288,0.0974994887248107,0.778301156594443,0.647246861757903,0.13105429483654,12191250,333750,11857500,25,708,22750,52
1,6,40,5,10,0.17491926803014,0.17491926803014,0.0369882335473813,0.718188444576569,0.66734550725087,0.0508429373256991,8127500,516250,7611250,28,679,22779,49
1,6,40,5,15,0.169547145044848,0.169547145044848,0.0346820101797131,0.707758444148645,0.661129091728461,0.046629352420184,7562500,483750,7078750,27,666,22792,50
1,6,40,10,0,0.245550075058975,0.245550075058975,0.0973665186536212,0.813690376961546,0.686229215409026,0.12746116155252,14732500,627500,14105000,31,707,22751,46
1,6,40,10,5,0.18506598004506,0.18506598004506,0.0469707419498215,0.732489040729763,0.673114314281507,0.0593747264482564,9088750,522500,8566250,29,713,22745,48
1,6,40,10,10,0.175795905241719,0.175795905241719,0.0327978776283071,0.720252182547064,0.673881643124545,0.0463705394225183,8228750,567500,7661250,29,677,22781,48
1,6,40,10,15,0.166913946587537,0.166913946587537,0.0337778519129809,0.710655664416238,0.660852000757364,0.0498036636588746,7445000,467500,6977500,27,679,22779,50
1,6,40,15,0,0.21853607161664,0.21853607161664,0.081872546640203,0.782386002953344,0.672879852690578,0.109506150262766,12371250,508750,11862500,29,724,22734,48
1,6,40,15,5,0.176852352623039,0.176852352623039,0.0284844001007843,0.719732419908468,0.680460408378389,0.0392720115300788,8283750,621250,7662500,30,673,22785,47
1,6,40,15,10,0.171749421997138,0.171749421997138,0.0366142868620024,0.709335575822168,0.66117172110863,0.0481638547135379,7736250,486250,7250000,27,664,22794,50
1,6,40,15,15,0.166859669438888,0.166859669438888,0.0258090857813008,0.711943862255609,0.673583237463364,0.0383606247922457,7466250,550000,6916250,29,691,22767,48
1,2,50,0,0,0.175553319919517,0.175553319919517,0.0437351381013353,0.733897859521317,0.672048579777286,0.0618492797440308,8515000,460000,8055000,29,763,22695,48
1,2,50,0,5,0.172586293146573,0.172586293146573,0.0450817394125113,0.730892799711579,0.665576387973864,0.0653164117377149,8246250,412500,7833750,28,762,22696,49
1,2,50,0,10,0.164443998796751,0.164443998796751,0.026955456175303,0.71872699083236,0.678755233171637,0.0399717576607228,7423750,521250,6902500,30,753,22705,47
1,2,50,0,15,0.160699755899105,0.160699755899105,0.0183673408394172,0.710436514298642,0.685312683735397,0.0251238305632452,7e+06,573750,6426250,31,750,22708,46
1,2,50,5,0,0.174214278542022,0.174214278542022,0.0374218257118336,0.732415460252434,0.672901167380663,0.0595142928717716,8391250,510000,7881250,29,723,22735,48
1,2,50,5,5,0.163103482886681,0.163103482886681,0.0156380450986623,0.716594571868501,0.691912763679325,0.024681808189176,7286250,628750,6657500,32,745,22713,45
1,2,50,5,10,0.160642570281125,0.160642570281125,0.0214960025631282,0.713008173357152,0.679032324142734,0.0339758492144175,7040000,537500,6502500,30,740,22718,47
1,2,50,5,15,0.149938511020717,0.149938511020717,0.0193902081486544,0.709405033811258,0.677518981146741,0.0318860526645162,6126250,448750,5677500,30,811,22647,47
1,2,50,10,0,0.165807299565261,0.165807299565261,0.0213524999380479,0.718921192261872,0.685653718776747,0.0332674734851246,7526250,593750,6932500,31,734,22724,46
1,2,50,10,5,0.159274193548387,0.159274193548387,0.0170723586860018,0.710228103008434,0.685291369045312,0.0249367339631215,6890000,572500,6317500,31,751,22707,46
1,2,50,10,10,0.159746071391404,0.159746071391404,0.0128266401117831,0.704496341259454,0.686037383198267,0.0184589580611877,6828750,616250,6212500,31,716,22742,46
1,2,50,10,15,0.15076112412178,0.15076112412178,0.0173091668264062,0.704420392472009,0.678051848398852,0.0263685440731578,6130000,480000,5650000,30,786,22672,47
1,2,50,15,0,0.167614790735473,0.167614790735473,0.0223476867054828,0.720469904214003,0.685781606917254,0.0346882972967492,7685000,601250,7083750,31,728,22730,46
1,2,50,15,5,0.156648637616083,0.156648637616083,0.0167232644817549,0.704046362337414,0.679160212283241,0.0248861500541736,6591250,545000,6046250,30,734,22724,47
1,2,50,15,10,0.149340574088441,0.149340574088441,0.0146906638550475,0.703550119936246,0.678264995299696,0.0252851246365503,6e+06,492500,5507500,30,776,22682,47
1,2,50,15,15,0.152396230198516,0.152396230198516,0.0280868379333228,0.701475806002096,0.659317343071286,0.0421584629308096,6222500,377500,5845000,27,751,22707,50
1,4,50,0,0,0.240687970690006,0.240687970690006,0.109601828367909,0.823286732228639,0.666215828676397,0.157070903552242,14857500,450000,14407500,28,732,22726,49
1,4,50,0,5,0.220991719046194,0.220991719046194,0.0760641828143097,0.801259154485602,0.691507784567722,0.10975136991788,13111250,605000,12506250,32,764,22694,45
1,4,50,0,10,0.181317539484622,0.181317539484622,0.0282074916377318,0.734646245517973,0.692765351282701,0.0418808942352715,8910000,678750,8231250,32,705,22753,45
1,4,50,0,15,0.174210526315789,0.174210526315789,0.0295625031721058,0.722003303582246,0.679906226436195,0.0420970771460513,8165000,588750,7576250,30,699,22759,47
1,4,50,5,0,0.227157489098469,0.227157489098469,0.100396925718187,0.805236324166091,0.659764951563059,0.145471372603032,13563750,403750,13160000,27,730,22728,50
