max_depth,nrounds,alpha,gamma,eta,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff
2,40,5,0,0.7,0.247598985821791,0.225427706864169,0.0221712789576222,0.805254368242139,0.776353425798912,0.0289009424432276,25077500,5412000,19665500
3,20,0,10,0.7,0.2468324144935,0.220686706487499,0.0261457080060011,0.803906952154595,0.768941024612828,0.0349659275417676,24932000,5211750,19720250
3,40,5,5,0.7,0.24935177397229,0.227403807076642,0.021947966895648,0.805097669155265,0.775836940458385,0.0292607286968807,25186000,5442500,19743500
3,20,0,10,1,0.247943760707563,0.217283903452179,0.0306598572553838,0.800409712466582,0.760616239830928,0.0397934726356544,24780750,5026000,19754750
3,30,0,10,1,0.249161936062707,0.218054911578503,0.0311070244842037,0.800309343539313,0.76046830672581,0.039841036813503,24855000,5039000,19816000
3,40,0,10,1,0.249161936062707,0.218054911578503,0.0311070244842037,0.800309343539313,0.76046830672581,0.039841036813503,24855000,5039000,19816000
3,30,10,0,0.5,0.24829227761156,0.226566984769678,0.0217252928418821,0.807780857043795,0.777160204797177,0.0306206522466178,25289750,5445750,19844000
3,30,5,5,0.5,0.246788661095312,0.223354186700459,0.0234344743948524,0.808571716264253,0.777458642070281,0.0311130741939723,25235500,5389750,19845750
3,20,5,0,0.7,0.24790671505091,0.221978501827474,0.0259282132234364,0.807331397052877,0.773654746851331,0.0336766502015454,25231000,5308500,19922500
2,30,0,5,1,0.247944183450788,0.218537006468944,0.0294071769818447,0.804999014943781,0.766772934177514,0.0382260807662667,25079250,5140000,19939250
3,20,5,5,1,0.249727465300822,0.223932078157397,0.0257953871434248,0.806508897412189,0.770746989199562,0.0357619082126271,25300750,5301750,19999000
3,40,0,5,0.3,0.247148044491118,0.223457092462486,0.0236909520286323,0.810671725954866,0.777781868330012,0.0328898576248543,25399750,5397250,20002500
3,30,0,10,0.7,0.249704863603506,0.221023542264837,0.0286813213386685,0.806806472415081,0.768403597109608,0.0384028753054725,25318750,5209500,20109250
3,40,0,10,0.7,0.249708050432748,0.221035278423648,0.0286727720091001,0.806807006845778,0.768405734820974,0.038401272024804,25319000,5209750,20109250
3,40,5,5,0.5,0.248956937216671,0.224666870552694,0.0242900666639774,0.811426986797667,0.779785358234761,0.0316416285629061,25571250,5449750,20121500
2,40,0,5,0.7,0.250789365625976,0.226775447508703,0.0240139181172734,0.810380773561957,0.776049008651813,0.034331764910144,25627250,5437000,20190250
2,40,10,0,1,0.251254743896924,0.222928986881369,0.028325757015555,0.808197071010585,0.770875676870106,0.0373213941404788,25514750,5286500,20228250
3,20,0,5,0.7,0.249537850091303,0.221847505152578,0.0276903449387252,0.809951302968731,0.772425974478668,0.037525328490063,25517250,5286000,20231250
2,40,0,0,0.7,0.251718531728698,0.225507369648285,0.0262111620804129,0.80962219471699,0.773732978210821,0.0358892165061691,25636000,5378250,20257750
3,40,0,0,0.3,0.249006593899026,0.22397232254093,0.0250342713580955,0.813325835064075,0.77907905107662,0.0342467839874541,25702000,5427750,20274250
3,30,5,0,0.5,0.251494301461877,0.226491818677232,0.0250024827846449,0.812849436018785,0.779846918649977,0.0330025173688084,25842750,5487250,20355500
3,30,5,5,1,0.253239944330131,0.224171197642496,0.0290687466876358,0.809363845416841,0.769603723590682,0.039760121826159,25727250,5289250,20438000
